id,path,source,modality,duration_sec,fps,width,height,has_video,has_audio,rights
ses-04_run-01_order-03_content-skiing,data/movies/spacetop/videos/ses-04/ses-04_run-01_order-03_content-skiing.mp4,spacetop,audiovisual,56.92,29.97,1920,1080,True,True,lab-internal
ses-04_run-01_order-04_content-cyclegraphics,data/movies/spacetop/videos/ses-04/ses-04_run-01_order-04_content-cyclegraphics.mp4,spacetop,audiovisual,147.78,29.97,1280,720,True,True,lab-internal
ses-04_run-02_order-01_content-dogdance,data/movies/spacetop/videos/ses-04/ses-04_run-02_order-01_content-dogdance.mp4,spacetop,audiovisual,38.91,29.97,1280,720,True,True,lab-internal
ses-04_run-02_order-02_content-littleboat,data/movies/spacetop/videos/ses-04/ses-04_run-02_order-02_content-littleboat.mp4,spacetop,audiovisual,74.62,23.98,1280,720,True,True,lab-internal
ses-04_run-02_order-03_content-gangan,data/movies/spacetop/videos/ses-04/ses-04_run-02_order-03_content-gangan.mp4,spacetop,audiovisual,138.93,23.98,1280,720,True,True,lab-internal
ses-04_run-02_order-04_content-tornado,data/movies/spacetop/videos/ses-04/ses-04_run-02_order-04_content-tornado.mp4,spacetop,audiovisual,27.06,29.97,1280,720,True,True,lab-internal
21styear_audio,data/stories/narratives/21styear_audio.wav,narratives,audio-only,3374.25,0,0,0,False,True,OpenNeuro ds002345 (CC0)
bigbang_audio,data/stories/narratives/bigbang_audio.wav,narratives,audio-only,171.03,0,0,0,False,True,OpenNeuro ds002345 (CC0)
black_audio,data/stories/narratives/black_audio.wav,narratives,audio-only,800.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
bronx_audio,data/stories/narratives/bronx_audio.wav,narratives,audio-only,561.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
forgot_audio,data/stories/narratives/forgot_audio.wav,narratives,audio-only,837.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
friends_audio,data/stories/narratives/friends_audio.wav,narratives,audio-only,163.99,0,0,0,False,True,OpenNeuro ds002345 (CC0)
himym_audio,data/stories/narratives/himym_audio.wav,narratives,audio-only,169.9,0,0,0,False,True,OpenNeuro ds002345 (CC0)
lucy_audio,data/stories/narratives/lucy_audio.wav,narratives,audio-only,542.12,0,0,0,False,True,OpenNeuro ds002345 (CC0)
merlin_audio,data/stories/narratives/merlin_audio.wav,narratives,audio-only,915.01,0,0,0,False,True,OpenNeuro ds002345 (CC0)
milkywayoriginal_audio,data/stories/narratives/milkywayoriginal_audio.wav,narratives,audio-only,438.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
milkywaysynonyms_audio,data/stories/narratives/milkywaysynonyms_audio.wav,narratives,audio-only,438.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
milkywayvodka_audio,data/stories/narratives/milkywayvodka_audio.wav,narratives,audio-only,438.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
notthefall_audio,data/stories/narratives/notthefall_audio.wav,narratives,audio-only,581.84,0,0,0,False,True,OpenNeuro ds002345 (CC0)
notthefallintact_audio,data/stories/narratives/notthefallintact_audio.wav,narratives,audio-only,581.84,0,0,0,False,True,OpenNeuro ds002345 (CC0)
notthefalllongscram_audio,data/stories/narratives/notthefalllongscram_audio.wav,narratives,audio-only,581.84,0,0,0,False,True,OpenNeuro ds002345 (CC0)
notthefallshortscram_audio,data/stories/narratives/notthefallshortscram_audio.wav,narratives,audio-only,581.84,0,0,0,False,True,OpenNeuro ds002345 (CC0)
pieman_audio,data/stories/narratives/pieman_audio.wav,narratives,audio-only,450.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
piemanpni_audio,data/stories/narratives/piemanpni_audio.wav,narratives,audio-only,415.4,0,0,0,False,True,OpenNeuro ds002345 (CC0)
prettymouth_audio,data/stories/narratives/prettymouth_audio.wav,narratives,audio-only,712.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
santa_audio,data/stories/narratives/santa_audio.wav,narratives,audio-only,175.79,0,0,0,False,True,OpenNeuro ds002345 (CC0)
seinfeld_audio,data/stories/narratives/seinfeld_audio.wav,narratives,audio-only,173.82,0,0,0,False,True,OpenNeuro ds002345 (CC0)
shame_audio,data/stories/narratives/shame_audio.wav,narratives,audio-only,175.32,0,0,0,False,True,OpenNeuro ds002345 (CC0)
shapesphysical_audio,data/stories/narratives/shapesphysical_audio.wav,narratives,audio-only,457.54,0,0,0,False,True,OpenNeuro ds002345 (CC0)
shapessocial_audio,data/stories/narratives/shapessocial_audio.wav,narratives,audio-only,457.54,0,0,0,False,True,OpenNeuro ds002345 (CC0)
sherlock_audio,data/stories/narratives/sherlock_audio.wav,narratives,audio-only,1081.0,0,0,0,False,True,OpenNeuro ds002345 (CC0)
slumlordreach_audio,data/stories/narratives/slumlordreach_audio.wav,narratives,audio-only,1801.62,0,0,0,False,True,OpenNeuro ds002345 (CC0)
tunnel_audio,data/stories/narratives/tunnel_audio.wav,narratives,audio-only,1533.77,0,0,0,False,True,OpenNeuro ds002345 (CC0)
upintheair_audio,data/stories/narratives/upintheair_audio.wav,narratives,audio-only,187.58,0,0,0,False,True,OpenNeuro ds002345 (CC0)
vinny_audio,data/stories/narratives/vinny_audio.wav,narratives,audio-only,179.03,0,0,0,False,True,OpenNeuro ds002345 (CC0)
ministory,data/stories/samples/ministory.txt,samples,text-only,31.0,0,0,0,False,False,unknown
